Code,Group,Developer Message,HTTP Code
2000001,Authorization,User not authorized to invoke the called operation.,401
2000002,Internal,PBA not found.,500
2000003,Internal,Create operation failed for service due to an error while invoking the Metadata service.,500
2000004,Internal,Update operation failed for service due to an error while invoking the Metadata service.,500
2000005,Internal,List operation failed for service due to an error while invoking the Metadata service.,500
2000006,Internal,Delete operation failed for service due to an error while invoking the Metadata service.,500
2000007,Internal,PBA is invalid.,500
2000008,Internal,Service Already Exists,500
2000009,Internal,Unknow Error,500
2000010,Internal,Error Invoking Metadata service while changing Dependencies,500
